Origin,Target,weight
MYC,TERT,1
SPI1,BGLAP,1
SMAD3,JUN,1
SMAD4,JUN,1
STAT5A,IL2,1
STAT5B,IL2,1
RELA,FAS,1
WT1,NR0B1,1
SP1,ALDOA,1
TP53,IGF1R,-1
ZBTB16,CCNA2,-1
ETV6,IL3,-1
RUNX1,IL3,-1
RUNX1,RHD,1
STAT1,CDKN1A,1
STAT3,CDKN1A,1
TP53,POLI,1
ETV4,GGT1,1
MTF1,MCAT,1
CREB1,HMGCS2,1
FOXA2,GCG,1
NFATC2,GCG,1
CEBPB,PCK1,1
FOS,ABCB1,1
RELA,ABCB1,1
PLAG1,PLAG1,1
TP53,CDKN1A,1
TP53,RB1,-1
E2F1,CDKN1A,1
E2F3,CDKN1A,1
HBP1,CDKN1A,-1
YY1,NR3C1,1
ESR1,MAPK8,1
JUN,MAPK8,1
NR1I3,CYP2B6,1
CEBPG,IVL,1
MAFK,HBB,-1
NFE2L3,HBB,1
TP53,ACTA1,1
TP53,BCL2,-1
PHOX2A,DBH,1
STAT4,IL12B,1
STAT4,IFNA1,1
STAT4,IRF1,1
IRF1,IRF1,1
ATF2,IL6,-1
WT1,ODC1,1
NR2C2,CCND1,1
IRF3,IFNA1,1
TFAP2A,CCL13,1
FOS,FOS,-1
HNF1A,IGF1,1
STAT5A,IGF1,1
ETS1,TIMP1,1
ETV4,TIMP1,1
CEBPB,ADRA1D,1
ARNT,CYP1B1,1
AHR,CYP1B1,1
TP53,CCNB1,-1
PAX6,L1CAM,1
CARF,CREBBP,1
STAT5A,CCND1,1
STAT5A,IL3,1
CEBPB,VLDLR,1
NFYA,VLDLR,1
CEBPG,VLDLR,1
TP53,MDM2,1
ZNF148,CDKN1A,1
NFIC,CREBBP,1
NFIC,SRC,1
NFIC,GAL,1
NFIC,NFIC,1
RBPJ,MYOD1,-1
RBPJ,HES1,1
HES1,HES1,1
ATF2,CCND1,1
JUN,CCND1,1
FOS,MAPK14,1
GATA4,INHA,1
GATA4,GATA4,1
GATA4,GATA6,1
GATA6,GATA4,1
E2F3,RBL1,1
NFATC2,IL4,1
HNF4A,GUCY2C,1
RXRG,SFTPB,1
RARA,SFTPB,1
JUN,CDKN1A,1
TP53,JUN,1
JUN,TP53,-1
TP53,TP53,1
STAT3,PRF1,1
DBP,JTB,1
HLF,JTB,1
HLF,F8,1
PPARG,SERPINE2,1
PPARG,SERPINE1,-1
MAX,PDLIM7,-1
USF2,PDLIM7,1
IRF1,SAMHD1,1
IRF2,SAMHD1,1
IRF1,IFNG,1
IRF1,NOS2,1
IRF2,NOS2,-1
SP1,FASLG,1
SP3,FASLG,1
AR,PRKACA,1
AR,KLK3,1
AR,ARR3,1
CUX1,CFTR,-1
ATF1,CFTR,1
KAT7,CFTR,1
CREBZF,GAST,1
SP1,GAST,1
GLI3,GLI1,1
NKX2-5,NPPA,1
GATA4,NPPA,1
AR,TGFB1I1,1
RARB,MMP11,1
RARG,MMP11,1
RARB,RARG,-1
RARG,RARB,1
JUN,CCL5,1
RELA,CD40,1
RELA,IFNG,1
TEAD1,TGFA,1
TFAP2A,TGFA,1
PPARA,NR1D1,1
ESR2,RARA,1
ESR1,RARA,1
RARA,ESR1,1
NR3C1,IRS2,1
PGR,IRS2,1
TBP,GTF2A1,1
REL,NOS2,1
PAX6,KRT12,1
ISL1,NHLH1,1
RARA,KRAS,1
RUNX1,KRAS,1
ZBTB14,MYC,-1
MYB,EPO,1
MYC,EPO,1
SP1,NF1,1
TP53,EIF2AK2,1
PITX1,LHB,1
EGR1,LHB,1
EGR1,PRKCG,1
SP1,MYOD1,1
MYOD1,SP1,1
FOS,TP53,1
TP53,FOS,-1
ETS2,BCL2L1,1
GTF2I,FOS,1
GTF2I,SMARCA4,1
SP1,FOS,1
YY1,FOS,-1
SP1,EGR1,1
EGR1,SP1,1
NR2F1,EGR1,1
TBP,BTAF1,1
TBP,DNAH8,1
MYC,ENO1,1
TP53,CCND1,-1
IRF2,ABCC8,1
IRF2,SMC3,1
FOS,RHOA,1
JDP2,LGALS1,-1
JUN,DCTN1,1
MAZ,PNMT,-1
SP1,PNMT,1
NFIC,PCK1,1
CREB1,PCK1,1
NR4A1,PCK1,1
HMGA1,NOS2,1
RELA,NOS2,1
NFKB1,NOS2,1
USF1,USF1,1
CEBPB,DDIT3,1
DDIT3,CEBPB,1
ATF4,DDIT3,1
DDIT3,ATF4,1
ATF3,ATF4,1
ATF4,ATF3,1
ATF3,DDIT3,1
RUNX2,BGLAP,1
TFAP2A,FABP2,1
TFAP2B,FABP2,1
ATF2,SELE,1
HMGA1,SELE,1
HNF1A,LCT,1
CREM,LIPE,1
SMAD4,SERPINE1,1
SMAD3,SERPINE1,1
STAT1,IRF8,1
IRF8,STAT1,-1
IRF8,IFNG,1
MAZ,MAZ,-1
TP53,S100A2,1
PAX6,GCG,1
TP53,BAX,1
TP53,CCNG1,1
TP53,CHKA,1
TP53,GADD45A,1
ETV5,IFNG,1
STAT4,IFNG,1
DMTF1,CDKN2A,1
TP53,CDKN2A,1
PPARG,LPL,1
SP1,NPR1,1
SP3,NPR1,1
NR5A1,CYP17A1,1
SP1,RAC2,1
SP3,RAC2,1
NEUROD2,ITPR1,1
RUNX1,FOS,1
NEUROD1,AK1,1
HHEX,HHEX,1
FOXO3,FASLG,1
USF1,ADGRE4P,1
USF1,FASN,1
USF1,INS,1
MBD1,FGF2,-1
CEBPD,IGF1,1
ELK1,SOD1,1
YY1,SOD1,1
FLI1,GP9,1
FLI1,ITGA2B,1
EGR1,ELK1,1
ELK1,EGR1,1
ELK4,EGR1,1
PREB,PRL,1
PREB,PRKACA,1
POU1F1,POU1F1,1
POU1F1,PRL,1
POU1F1,PREB,1
PREB,POU1F1,1
POU1F1,PRKACA,1
PREB,PREB,1
STAT3,POMC,1
TP53,PTGS2,-1
TBP,PTGS2,1
TP53,TICAM2,1
TBP,RB1,1
PAX5,RB1,1
CREB1,CHGA,1
TFAP2A,ST3GAL4,1
